,statement,category
0,"['send', 'mail']",email
1,"['help', 'send', 'email']",email
2,"['send', 'email']",email
3,"['help', 'send', 'mail']",email
4,['email'],email
5,['mail'],email
6,"['mail', 'email']",email
7,"['send', 'email', '?']",email
8,"['send', 'mail', '?']",email
9,"['need', 'send', 'email']",email
10,"['need', 'send', 'mail']",email
11,['email'],email
12,['mail'],email
13,"['want', 'send', 'email']",email
14,"['want', 'send', 'mail']",email
15,"['need', 'send', 'email']",email
16,"['need', 'send', 'mail']",email
17,"['email', 'someone']",email
18,"['need', 'email', 'someone']",email
19,"['want', 'email', 'someone']",email
20,"['send', 'email', 'someone']",email
21,"['need', 'send', 'mail', 'someone']",email
22,"['need', 'send', 'email', 'someone']",email
23,"['send', 'mail', 'someone']",email
24,['mail'],email
25,['email'],email
26,"['send', 'mail']",email
27,"['send', 'email']",email
28,"['send', 'email']",email
29,"['send', 'mail']",email
30,"['send', 'email']",email
31,"['send', 'mail']",email
32,"['forward', 'mail']",email
33,"['forward', 'email']",email
34,"['forward', 'mail']",email
35,"['forward', 'email']",email
36,"['want', 'send', 'mail']",email
37,"['need', 'send', 'mail']",email
38,"['nee', 'send', 'email']",email
39,"['want', 'send', 'email']",email
40,"['send', 'mail']",email
41,"['send', 'email']",email
42,"['push', 'email']",email
43,"['push', 'mail']",email
44,"['let', ""'s"", 'send', 'mail']",email
45,"['let', ""'s"", 'send', 'email']",email
46,"['send', 'email']",email
47,"['need', 'send', 'mail']",email
48,"['let', ""'s"", 'send', 'mail']",email
49,"['let', ""'s"", 'send', 'email']",email
50,"['email', 'time']",email
51,"['mail', 'time']",email
52,['email'],email
53,['mail'],email
54,['email'],email
55,['mail'],email
56,"['mail', 'sending']",email
57,"['email', 'sending']",email
58,"['deliver', 'mail']",email
59,"['deliver', 'email']",email
60,"['bill', 'gate']",def
61,"['elon', 'musk']",def
62,"['tell', 'mark', 'zuckerburg']",def
63,['charles'],def
64,"['need', 'information', 'bill', 'gate']",def
65,"['janet', 'doe']",def
66,['sarkodie'],def
67,"['shatta', 'wale']",def
68,['stonebwoy'],def
69,"['barrack', 'obama']",def
70,"['akuffo', 'addo']",def
71,['brian'],def
72,"['tell', 'something', 'brian']",def
73,"['tell', 'something', 'jeff']",def
74,"['know', 'bill', 'gate']",def
75,"['know', 'mark']",def
76,"['know', 'adam']",def
77,['adam'],def
78,['professor'],def
79,"['want', 'know', 'james']",def
80,"['want', 'know', 'something', 'james']",def
81,"['want', 'know', 'something', 'brian']",def
82,"['want', 'know', 'something', 'bill', 'gate']",def
83,"['tell', 'bill', 'gate']",def
84,"['tell', 'jeffery']",def
85,"['know', 'jeffery']",def
86,"['give', 'information', 'mark', 'zuckerburg']",def
87,"['give', 'info', 'mark', 'zuckerburg']",def
88,"['give', 'something', 'francis']",def
89,['francis'],def
90,"['know', 'francis']",def
91,"['tell', 'ryan']",def
92,"['know', 'anything', 'donald', 'trump']",def
93,"['donald', 'trump']",def
94,"['know', 'anything', 'barrack']",def
95,"['know', 'anything', 'francis']",def
96,"['know', 'anything', 'Nelson']",def
97,"['let', 'talk', 'bill', 'gate']",def
98,"['let', 'talk', 'mark', 'zuckerburg']",def
99,"['let', 'talk', 'elon', 'musk']",def
100,"['elon', 'musk']",def
101,"['bill', 'gate']",def
102,"['mark', 'zuckerburg']",def
103,"['barrack', 'obama']",def
104,['science'],def
105,['biology'],def
106,['program'],def
107,['animal'],def
108,['specie'],def
109,['engineering'],def
110,"['define', 'signal']",def
111,"['define', 'programming', 'language']",def
112,"['define', 'programme']",def
113,"['food', 'storage']",def
114,"['food', 'spoilage']",def
115,['preservation'],def
116,"['define', 'preservation']",def
117,"['tell', 'program']",def
118,"['tell', 'artificial', 'intelligence']",def
119,"['machine', 'learning']",def
120,"['deep', 'learning']",def
121,"['explaing', 'machine', 'learning']",def
122,"['define', 'A.I']",def
123,"['definition', 'friction']",def
124,"['explain', 'reflection']",def
125,"['X', '+', '12', '=', '30']",math
126,"['X', '-', '34', '=', '45']",math
127,"['X', '+', '23', '=', '56']",math
128,"['X', '*', '3', '=', '56']",math
129,"['X', '/4', '=', '20']",math
130,"['X', '+', '16', '=', '37']",math
131,"['X', '+', '22', '=', '30']",math
132,"['X', '+', '10', '=', '30']",math
133,"['X', '+', '12', '=', '350']",math
134,"['X', '+', '12', '=', '3']",math
135,"['X', '-', '20', '=', '100']",math
136,"['Y', '=', '20', '=', '30']",math
137,"['Z', '=', '20', '+50']",math
138,"['X', '=', '40', '+40']",math
139,"['Z', '*', '10', '=', '100']",math
